Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
nesting;C1F-baseline;900.00-1200.00;7;2;5;7;2
nesting;C1F-baseline;1200.00-1500.00;3;1;2;3;4
nesting;C1F-baseline;1500.00-1800.00;5;3;6;7;7
nesting;C2F-baseline;0.00-300.00;1;0;8;9;5
nesting;C2F-baseline;300.00-600.00;4;3;1;5;8
nesting;C2F-baseline;600.00-900.00;4;5;2;6;0
nesting;C2F-baseline;900.00-1200.00;5;1;6;7;3
nesting;C2F-baseline;1200.00-1500.00;1;3;3;3;3
nesting;C2F-baseline;1500.00-1800.00;1;4;7;2;2
nesting;C5F-baseline;0.00-300.00;5;2;10;7;4
nesting;C5F-baseline;300.00-600.00;7;5;7;7;6
nesting;C5F-baseline;600.00-900.00;9;1;3;8;8
nesting;C5F-baseline;900.00-1200.00;9;2;10;6;1
nesting;C5F-baseline;1200.00-1500.00;9;4;9;10;2
nesting;C5F-baseline;1500.00-1800.00;6;1;4;2;3
nesting;C6F-baseline;0.00-300.00;6;13;0;7;10
nesting;C6F-baseline;300.00-600.00;6;9;2;4;0
nesting;C6F-baseline;600.00-900.00;2;3;3;3;6
nesting;C6F-baseline;900.00-1200.00;3;7;4;5;6
nesting;C6F-baseline;1200.00-1500.00;4;2;3;4;6
nesting;C6F-baseline;1500.00-1800.00;6;2;0;3;9
nesting;C1F-formalin;0.00-300.00;1;2;2;6;6
nesting;C1F-formalin;300.00-600.00;2;2;0;7;6
nesting;C1F-formalin;600.00-900.00;6;4;5;2;8
nesting;C1F-formalin;900.00-1200.00;2;6;5;8;9
nesting;C1F-formalin;1200.00-1500.00;10;8;3;7;2
nesting;C1F-formalin;1500.00-1800.00;9;5;5;5;4
nesting;C2F-formalin;0.00-300.00;3;1;0;8;6
nesting;C2F-formalin;300.00-600.00;3;2;2;8;6
nesting;C2F-formalin;600.00-900.00;9;1;3;6;4
nesting;C2F-formalin;900.00-1200.00;8;5;8;13;6
nesting;C2F-formalin;1200.00-1500.00;8;2;12;5;3
nesting;C2F-formalin;1500.00-1800.00;7;2;3;4;11
nesting;C5F-formalin;0.00-300.00;4;4;4;8;5
nesting;C5F-formalin;300.00-600.00;3;8;4;1;11
nesting;C5F-formalin;600.00-900.00;5;5;2;5;10
nesting;C5F-formalin;900.00-1200.00;9;8;6;7;6
nesting;C5F-formalin;1200.00-1500.00;6;11;2;1;13
nesting;C5F-formalin;1500.00-1800.00;2;4;2;2;6
nesting;C6F-formalin;0.00-300.00;0;4;3;4;9
nesting;C6F-formalin;300.00-600.00;10;2;11;4;5
nesting;C6F-formalin;600.00-900.00;11;10;7;2;5
nesting;C6F-formalin;900.00-1200.00;6;4;6;3;4
nesting;C6F-formalin;1200.00-1500.00;3;7;1;7;4
nesting;C6F-formalin;1500.00-1800.00;7;0;3;3;4
sniffingfloor;C1F-baseline;0.00-300.00;30;33;33;35;62
sniffingfloor;C1F-baseline;300.00-600.00;27;12;16;40;41
sniffingfloor;C1F-baseline;600.00-900.00;12;21;43;14;37
sniffingfloor;C1F-baseline;900.00-1200.00;2;12;17;2;39
sniffingfloor;C1F-baseline;1200.00-1500.00;0;0;1;11;34
sniffingfloor;C1F-baseline;1500.00-1800.00;2;0;3;12;15
sniffingfloor;C2F-baseline;0.00-300.00;31;67;33;47;46
sniffingfloor;C2F-baseline;300.00-600.00;28;23;26;37;36
sniffingfloor;C2F-baseline;600.00-900.00;31;7;31;43;23
sniffingfloor;C2F-baseline;900.00-1200.00;20;27;20;20;23
sniffingfloor;C2F-baseline;1200.00-1500.00;0;4;13;2;24
sniffingfloor;C2F-baseline;1500.00-1800.00;0;0;12;0;15
sniffingfloor;C5F-baseline;0.00-300.00;11;30;8;28;17
sniffingfloor;C5F-baseline;300.00-600.00;13;9;1;2;11
sniffingfloor;C5F-baseline;600.00-900.00;3;0;1;12;2
sniffingfloor;C5F-baseline;900.00-1200.00;3;0;1;1;8
sniffingfloor;C5F-baseline;1200.00-1500.00;2;0;1;2;18
sniffingfloor;C5F-baseline;1500.00-1800.00;3;0;0;0;0
sniffingfloor;C6F-baseline;0.00-300.00;25;19;24;12;63
sniffingfloor;C6F-baseline;300.00-600.00;3;7;17;19;24
sniffingfloor;C6F-baseline;600.00-900.00;3;24;21;0;12
sniffingfloor;C6F-baseline;900.00-1200.00;0;0;18;0;19
sniffingfloor;C6F-baseline;1200.00-1500.00;1;0;3;0;19
sniffingfloor;C6F-baseline;1500.00-1800.00;0;6;29;2;9
sniffingfloor;C1F-formalin;0.00-300.00;29;26;21;27;36
sniffingfloor;C1F-formalin;300.00-600.00;15;14;27;14;33
sniffingfloor;C1F-formalin;600.00-900.00;9;10;13;28;10
sniffingfloor;C1F-formalin;900.00-1200.00;33;19;7;4;1
sniffingfloor;C1F-formalin;1200.00-1500.00;4;0;0;3;0
sniffingfloor;C1F-formalin;1500.00-1800.00;3;1;0;18;0
sniffingfloor;C2F-formalin;0.00-300.00;22;33;29;31;37
sniffingfloor;C2F-formalin;300.00-600.00;13;31;23;20;23
sniffingfloor;C2F-formalin;600.00-900.00;18;15;29;34;1
sniffingfloor;C2F-formalin;900.00-1200.00;3;24;40;30;0
sniffingfloor;C2F-formalin;1200.00-1500.00;3;1;9;0;6
sniffingfloor;C2F-formalin;1500.00-1800.00;13;0;0;6;27
sniffingfloor;C5F-formalin;0.00-300.00;12;24;20;14;22
sniffingfloor;C5F-formalin;300.00-600.00;2;8;43;25;4
sniffingfloor;C5F-formalin;600.00-900.00;1;24;0;8;4
sniffingfloor;C5F-formalin;900.00-1200.00;0;0;0;5;27
sniffingfloor;C5F-formalin;1200.00-1500.00;14;21;0;0;27
sniffingfloor;C5F-formalin;1500.00-1800.00;46;1;0;0;0
sniffingfloor;C6F-formalin;0.00-300.00;30;15;31;26;28
sniffingfloor;C6F-formalin;300.00-600.00;27;26;2;4;2
sniffingfloor;C6F-formalin;600.00-900.00;12;2;4;0;36
sniffingfloor;C6F-formalin;900.00-1200.00;5;9;2;0;1
sniffingfloor;C6F-formalin;1200.00-1500.00;1;2;24;3;21
sniffingfloor;C6F-formalin;1500.00-1800.00;3;0;32;1;1
