Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
stretch-attend;C2F-formalin;900.00-1200.00;0;1;1;0;0
stretch-attend;C2F-formalin;1200.00-1500.00;0;0;0;0;1
stretch-attend;C2F-formalin;1500.00-1800.00;1;0;0;1;1
stretch-attend;C5F-formalin;0.00-300.00;0;0;3;1;2
stretch-attend;C5F-formalin;300.00-600.00;0;1;1;3;0
stretch-attend;C5F-formalin;600.00-900.00;0;1;0;0;0
stretch-attend;C5F-formalin;900.00-1200.00;0;0;0;0;1
stretch-attend;C5F-formalin;1200.00-1500.00;1;1;0;0;2
stretch-attend;C5F-formalin;1500.00-1800.00;1;0;0;0;0
stretch-attend;C6F-formalin;0.00-300.00;4;0;1;1;1
stretch-attend;C6F-formalin;300.00-600.00;1;2;0;0;0
stretch-attend;C6F-formalin;600.00-900.00;0;0;0;0;1
stretch-attend;C6F-formalin;900.00-1200.00;0;0;0;0;0
stretch-attend;C6F-formalin;1200.00-1500.00;0;0;3;0;1
stretch-attend;C6F-formalin;1500.00-1800.00;0;0;1;0;0
backarching;C1F-baseline;0.00-300.00;10;5;3;4;2
backarching;C1F-baseline;300.00-600.00;9;3;1;10;1
backarching;C1F-baseline;600.00-900.00;7;5;7;2;3
backarching;C1F-baseline;900.00-1200.00;1;0;2;3;2
backarching;C1F-baseline;1200.00-1500.00;4;0;0;0;2
backarching;C1F-baseline;1500.00-1800.00;5;0;6;2;3
backarching;C2F-baseline;0.00-300.00;1;4;6;1;0
backarching;C2F-baseline;300.00-600.00;1;7;6;4;3
backarching;C2F-baseline;600.00-900.00;5;5;1;3;0
backarching;C2F-baseline;900.00-1200.00;3;1;5;4;2
backarching;C2F-baseline;1200.00-1500.00;0;0;6;6;4
backarching;C2F-baseline;1500.00-1800.00;0;0;6;0;4
backarching;C5F-baseline;0.00-300.00;9;5;18;1;3
backarching;C5F-baseline;300.00-600.00;1;4;4;5;11
backarching;C5F-baseline;600.00-900.00;8;0;2;11;0
backarching;C5F-baseline;900.00-1200.00;2;3;2;14;7
backarching;C5F-baseline;1200.00-1500.00;8;0;1;2;0
backarching;C5F-baseline;1500.00-1800.00;8;8;0;0;0
backarching;C6F-baseline;0.00-300.00;5;5;3;8;3
backarching;C6F-baseline;300.00-600.00;8;6;7;1;12
backarching;C6F-baseline;600.00-900.00;2;3;6;6;10
backarching;C6F-baseline;900.00-1200.00;16;1;1;4;1
backarching;C6F-baseline;1200.00-1500.00;3;2;4;0;8
backarching;C6F-baseline;1500.00-1800.00;4;3;3;0;3
backarching;C1F-formalin;0.00-300.00;62;21;1;5;1
backarching;C1F-formalin;300.00-600.00;40;40;2;7;2
backarching;C1F-formalin;600.00-900.00;31;25;4;2;3
backarching;C1F-formalin;900.00-1200.00;26;19;0;1;0
backarching;C1F-formalin;1200.00-1500.00;22;33;0;0;0
backarching;C1F-formalin;1500.00-1800.00;6;17;0;3;0
backarching;C2F-formalin;0.00-300.00;24;19;11;1;1
backarching;C2F-formalin;300.00-600.00;33;10;11;4;1
backarching;C2F-formalin;600.00-900.00;7;4;11;4;0
backarching;C2F-formalin;900.00-1200.00;17;0;12;1;0
backarching;C2F-formalin;1200.00-1500.00;42;3;4;0;2
backarching;C2F-formalin;1500.00-1800.00;14;10;0;0;2
backarching;C5F-formalin;0.00-300.00;13;7;10;1;2
backarching;C5F-formalin;300.00-600.00;113;43;5;11;3
backarching;C5F-formalin;600.00-900.00;48;26;5;1;2
backarching;C5F-formalin;900.00-1200.00;49;43;0;0;0
backarching;C5F-formalin;1200.00-1500.00;21;22;0;0;0
backarching;C5F-formalin;1500.00-1800.00;6;59;0;0;0
backarching;C6F-formalin;0.00-300.00;26;54;0;11;1
backarching;C6F-formalin;300.00-600.00;19;46;0;19;2
backarching;C6F-formalin;600.00-900.00;63;10;19;0;0
backarching;C6F-formalin;900.00-1200.00;90;19;0;0;2
backarching;C6F-formalin;1200.00-1500.00;50;25;2;0;1
backarching;C6F-formalin;1500.00-1800.00;27;42;3;0;0
eating;C1F-baseline;0.00-300.00;1;7;6;1;4
eating;C1F-baseline;300.00-600.00;6;5;6;8;2
eating;C1F-baseline;600.00-900.00;0;7;6;0;6
eating;C1F-baseline;900.00-1200.00;0;3;3;0;4
eating;C1F-baseline;1200.00-1500.00;0;0;0;1;1
eating;C1F-baseline;1500.00-1800.00;0;0;0;4;2
eating;C2F-baseline;0.00-300.00;7;2;1;1;1
eating;C2F-baseline;300.00-600.00;11;3;3;3;1
eating;C2F-baseline;600.00-900.00;10;0;7;1;2
eating;C2F-baseline;900.00-1200.00;4;3;3;8;4
eating;C2F-baseline;1200.00-1500.00;0;1;4;0;5
eating;C2F-baseline;1500.00-1800.00;0;0;1;0;9
eating;C5F-baseline;0.00-300.00;1;4;0;1;9
eating;C5F-baseline;300.00-600.00;2;1;0;2;5
eating;C5F-baseline;600.00-900.00;1;0;0;1;0
eating;C5F-baseline;900.00-1200.00;2;2;0;5;2
eating;C5F-baseline;1200.00-1500.00;0;0;0;0;1
eating;C5F-baseline;1500.00-1800.00;0;0;0;0;0
eating;C6F-baseline;0.00-300.00;12;2;10;0;6
eating;C6F-baseline;300.00-600.00;0;2;7;10;6
eating;C6F-baseline;600.00-900.00;0;3;3;0;0
eating;C6F-baseline;900.00-1200.00;0;0;2;0;0
eating;C6F-baseline;1200.00-1500.00;0;0;3;0;5
eating;C6F-baseline;1500.00-1800.00;0;1;0;0;1
eating;C1F-formalin;0.00-300.00;2;1;4;4;6
eating;C1F-formalin;300.00-600.00;3;4;5;2;3
eating;C1F-formalin;600.00-900.00;1;4;1;5;0
eating;C1F-formalin;900.00-1200.00;1;1;0;0;0
eating;C1F-formalin;1200.00-1500.00;1;0;0;0;0
eating;C1F-formalin;1500.00-1800.00;0;0;0;0;0
eating;C2F-formalin;0.00-300.00;7;8;3;4;5
eating;C2F-formalin;300.00-600.00;6;7;6;5;4
eating;C2F-formalin;600.00-900.00;0;6;6;7;0
eating;C2F-formalin;900.00-1200.00;0;4;8;5;0
eating;C2F-formalin;1200.00-1500.00;0;0;0;0;0
eating;C2F-formalin;1500.00-1800.00;0;0;0;0;1
eating;C5F-formalin;0.00-300.00;5;4;3;5;7
eating;C5F-formalin;300.00-600.00;0;6;3;6;1
eating;C5F-formalin;600.00-900.00;2;4;1;1;4
eating;C5F-formalin;900.00-1200.00;0;3;0;0;2
eating;C5F-formalin;1200.00-1500.00;1;4;0;0;3
eating;C5F-formalin;1500.00-1800.00;4;0;1;0;0
eating;C6F-formalin;0.00-300.00;14;8;1;9;9
eating;C6F-formalin;300.00-600.00;6;3;0;3;0
eating;C6F-formalin;600.00-900.00;6;0;0;0;2
eating;C6F-formalin;900.00-1200.00;2;4;0;0;0
eating;C6F-formalin;1200.00-1500.00;0;0;6;0;5
eating;C6F-formalin;1500.00-1800.00;0;0;5;0;3
drinking;C1F-baseline;0.00-300.00;0;0;0;0;1
drinking;C1F-baseline;300.00-600.00;0;0;0;0;0
drinking;C1F-baseline;600.00-900.00;0;0;0;0;0
drinking;C1F-baseline;900.00-1200.00;0;0;0;0;0
drinking;C1F-baseline;1200.00-1500.00;0;0;0;0;0
drinking;C1F-baseline;1500.00-1800.00;0;0;0;0;2
drinking;C2F-baseline;0.00-300.00;0;0;0;0;0
drinking;C2F-baseline;300.00-600.00;0;0;0;0;2
drinking;C2F-baseline;600.00-900.00;0;0;0;1;0
drinking;C2F-baseline;900.00-1200.00;1;0;0;0;0
drinking;C2F-baseline;1200.00-1500.00;0;0;0;0;1
drinking;C2F-baseline;1500.00-1800.00;0;0;0;0;0
drinking;C5F-baseline;0.00-300.00;0;0;0;0;0
drinking;C5F-baseline;300.00-600.00;0;0;0;0;0
drinking;C5F-baseline;600.00-900.00;0;0;0;0;0
drinking;C5F-baseline;900.00-1200.00;0;0;0;0;0
drinking;C5F-baseline;1200.00-1500.00;0;0;0;0;0
drinking;C5F-baseline;1500.00-1800.00;0;0;0;0;0
drinking;C6F-baseline;0.00-300.00;0;0;0;0;1
drinking;C6F-baseline;300.00-600.00;0;0;0;0;0
drinking;C6F-baseline;600.00-900.00;0;0;0;0;0
drinking;C6F-baseline;900.00-1200.00;0;0;0;0;0
drinking;C6F-baseline;1200.00-1500.00;0;0;0;0;3
drinking;C6F-baseline;1500.00-1800.00;0;0;1;0;0
drinking;C1F-formalin;0.00-300.00;0;0;0;0;0
drinking;C1F-formalin;300.00-600.00;0;0;0;0;1
drinking;C1F-formalin;600.00-900.00;0;0;0;0;0
drinking;C1F-formalin;900.00-1200.00;2;0;0;0;0
