injection_area;phase;exp;ID;treatment;Behaviors;Intervals;totnb
neck;baseline;FN;G5M4;baseline;backscratching;2;0
neck;baseline;FN;G5M4;baseline;backscratching;3;2
neck;baseline;FN;G5M4;baseline;backscratching;4;0
neck;baseline;FN;G5M4;baseline;backscratching;5;3
neck;baseline;FN;G5M4;baseline;backscratching;6;4
neck;test;FN;G5M4;formalin;backscratching;1;0
neck;test;FN;G5M4;formalin;backscratching;2;76
neck;test;FN;G5M4;formalin;backscratching;3;48
neck;test;FN;G5M4;formalin;backscratching;4;89
neck;test;FN;G5M4;formalin;backscratching;5;35
neck;test;FN;G5M4;formalin;backscratching;6;49
neck;baseline;SN;514;baseline;backscratching;1;0
neck;baseline;SN;514;baseline;backscratching;2;0
neck;baseline;SN;514;baseline;backscratching;3;1
neck;baseline;SN;514;baseline;backscratching;4;0
neck;baseline;SN;514;baseline;backscratching;5;0
neck;baseline;SN;514;baseline;backscratching;6;0
neck;test;SN;514;saline;backscratching;1;0
neck;test;SN;514;saline;backscratching;2;3
neck;test;SN;514;saline;backscratching;3;10
neck;test;SN;514;saline;backscratching;4;11
neck;test;SN;514;saline;backscratching;5;1
neck;test;SN;514;saline;backscratching;6;20
neck;baseline;SN;515;baseline;backscratching;1;0
neck;baseline;SN;515;baseline;backscratching;2;0
neck;baseline;SN;515;baseline;backscratching;3;1
neck;baseline;SN;515;baseline;backscratching;4;0
neck;baseline;SN;515;baseline;backscratching;5;0
neck;baseline;SN;515;baseline;backscratching;6;0
neck;test;SN;515;saline;backscratching;1;5
neck;test;SN;515;saline;backscratching;2;8
neck;test;SN;515;saline;backscratching;3;0
neck;test;SN;515;saline;backscratching;4;4
neck;test;SN;515;saline;backscratching;5;14
neck;test;SN;515;saline;backscratching;6;13
neck;baseline;SN;516;baseline;backscratching;1;0
neck;baseline;SN;516;baseline;backscratching;2;0
neck;baseline;SN;516;baseline;backscratching;3;0
neck;baseline;SN;516;baseline;backscratching;4;0
neck;baseline;SN;516;baseline;backscratching;5;1
neck;baseline;SN;516;baseline;backscratching;6;0
neck;test;SN;516;saline;backscratching;1;18
neck;test;SN;516;saline;backscratching;2;10
neck;test;SN;516;saline;backscratching;3;0
neck;test;SN;516;saline;backscratching;4;31
neck;test;SN;516;saline;backscratching;5;0
neck;test;SN;516;saline;backscratching;6;1
neck;baseline;SN;517;baseline;backscratching;1;0
neck;baseline;SN;517;baseline;backscratching;2;0
neck;baseline;SN;517;baseline;backscratching;3;0
neck;baseline;SN;517;baseline;backscratching;4;0
neck;baseline;SN;517;baseline;backscratching;5;2
neck;baseline;SN;517;baseline;backscratching;6;0
neck;test;SN;517;saline;backscratching;1;3
neck;test;SN;517;saline;backscratching;2;3
neck;test;SN;517;saline;backscratching;3;4
neck;test;SN;517;saline;backscratching;4;16
neck;test;SN;517;saline;backscratching;5;0
neck;test;SN;517;saline;backscratching;6;0
neck;baseline;SN;518;baseline;backscratching;1;0
neck;baseline;SN;518;baseline;backscratching;2;0
neck;baseline;SN;518;baseline;backscratching;3;0
neck;baseline;SN;518;baseline;backscratching;4;1
neck;baseline;SN;518;baseline;backscratching;5;0
neck;baseline;SN;518;baseline;backscratching;6;0
neck;test;SN;518;saline;backscratching;1;0
neck;test;SN;518;saline;backscratching;2;1
neck;test;SN;518;saline;backscratching;3;2
neck;test;SN;518;saline;backscratching;4;1
neck;test;SN;518;saline;backscratching;5;2
neck;test;SN;518;saline;backscratching;6;3
neck;baseline;SN;520;baseline;backscratching;1;0
neck;baseline;SN;520;baseline;backscratching;2;0
neck;baseline;SN;520;baseline;backscratching;3;0
neck;baseline;SN;520;baseline;backscratching;4;1
neck;baseline;SN;520;baseline;backscratching;5;0
neck;baseline;SN;520;baseline;backscratching;6;5
neck;test;SN;520;saline;backscratching;1;2
neck;test;SN;520;saline;backscratching;2;9
neck;test;SN;520;saline;backscratching;3;7
neck;test;SN;520;saline;backscratching;4;0
neck;test;SN;520;saline;backscratching;5;17
neck;test;SN;520;saline;backscratching;6;0
neck;baseline;SN;521;baseline;backscratching;1;0
neck;baseline;SN;521;baseline;backscratching;2;0
neck;baseline;SN;521;baseline;backscratching;3;0
neck;baseline;SN;521;baseline;backscratching;4;0
neck;baseline;SN;521;baseline;backscratching;5;1
neck;baseline;SN;521;baseline;backscratching;6;1
neck;test;SN;521;saline;backscratching;1;1
neck;test;SN;521;saline;backscratching;2;3
neck;test;SN;521;saline;backscratching;3;2
neck;test;SN;521;saline;backscratching;4;3
neck;test;SN;521;saline;backscratching;5;2
neck;test;SN;521;saline;backscratching;6;13
neck;baseline;SN;522;baseline;backscratching;1;0
neck;baseline;SN;522;baseline;backscratching;2;0
neck;baseline;SN;522;baseline;backscratching;3;1
neck;baseline;SN;522;baseline;backscratching;4;0
neck;baseline;SN;522;baseline;backscratching;5;6
neck;baseline;SN;522;baseline;backscratching;6;0
neck;test;SN;522;saline;backscratching;1;1
neck;test;SN;522;saline;backscratching;2;0
neck;test;SN;522;saline;backscratching;3;6
neck;test;SN;522;saline;backscratching;4;3
neck;test;SN;522;saline;backscratching;5;6
neck;test;SN;522;saline;backscratching;6;0
neck;baseline;SN;523;baseline;backscratching;1;0
neck;baseline;SN;523;baseline;backscratching;2;0
neck;baseline;SN;523;baseline;backscratching;3;0
neck;baseline;SN;523;baseline;backscratching;4;1
neck;baseline;SN;523;baseline;backscratching;5;0
neck;baseline;SN;523;baseline;backscratching;6;0
neck;test;SN;523;saline;backscratching;1;0
neck;test;SN;523;saline;backscratching;2;8
neck;test;SN;523;saline;backscratching;3;4
neck;test;SN;523;saline;backscratching;4;0
neck;test;SN;523;saline;backscratching;5;0
neck;test;SN;523;saline;backscratching;6;1
neck;baseline;SN;524;baseline;backscratching;1;0
neck;baseline;SN;524;baseline;backscratching;2;0
neck;baseline;SN;524;baseline;backscratching;3;0
neck;baseline;SN;524;baseline;backscratching;4;0
neck;baseline;SN;524;baseline;backscratching;5;0
neck;baseline;SN;524;baseline;backscratching;6;0
neck;test;SN;524;saline;backscratching;1;6
neck;test;SN;524;saline;backscratching;2;9
neck;test;SN;524;saline;backscratching;3;11
neck;test;SN;524;saline;backscratching;4;4
neck;test;SN;524;saline;backscratching;5;4
